Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
2011-01-01T00:00:00,Completed - Dup,2011-01-07T00:00:00,11-00002767,Abandoned Vehicle Complaint,0000000000,Jeep/Cherokee,Red,,,20,5629 N KEDVALE AVE,60646,1147716.70081754,1937054.16743335,39,17,13,,41.983680361597564,-87.7319663736746,"{'latitude': '41.983680361597564', 'longitude': '-87.7319663736746', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-07T00:00:00,11-00002779,Abandoned Vehicle Complaint,REAR PLATE STARTS W/848 AND FRONT PLATE STARTS W/ K,Isuzu,Red,,,24,5629 N KEDVALE AVE,60646,1147716.70081754,1937054.16743335,39,17,13,,41.983680361597564,-87.7319663736746,"{'latitude': '41.983680361597564', 'longitude': '-87.7319663736746', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-20T00:00:00,11-00003001,Abandoned Vehicle Complaint,9381880,Toyota,Silver,,,,2053 N KILBOURN AVE,60639,1146056.03097988,1913268.75790263,31,25,20,,41.91858774162382,-87.73868431751842,"{'latitude': '41.91858774162382', 'longitude': '-87.73868431751842', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-21T00:00:00,11-00003309,Abandoned Vehicle Complaint,MI S CS860,Jeep/Cherokee,Gold,,,,736 W BUENA AVE,60613,1170576.48887782,1928213.79082563,46,23,3,,41.95860696269331,-87.64887590959788,"{'latitude': '41.95860696269331', 'longitude': '-87.64887590959788', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-21T00:00:00,11-00003316,Abandoned Vehicle Complaint,MI SCS860,,Gold,,,,736 W BUENA AVE,60613,1170576.48887782,1928213.79082563,46,23,3,,41.95860696269331,-87.64887590959788,"{'latitude': '41.95860696269331', 'longitude': '-87.64887590959788', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00001976,Abandoned Vehicle Complaint,H924236,Ford,White,,,60,6059 S KOMENSKY AVE,60629,1150407.76690181,1864110.04242601,13,8,65,3,41.78237428405976,-87.72394038021173,"{'latitude': '41.78237428405976', 'longitude': '-87.72394038021173', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00002291,Abandoned Vehicle Complaint,810 LYB    WISCONSIN PLATES,Mercury,Green,,,,4651 S WASHTENAW AVE,60632,1159150.32010211,1873712.02067414,12,9,58,,41.80863500843091,-87.69162625248853,"{'latitude': '41.80863500843091', 'longitude': '-87.69162625248853', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00002696,Abandoned Vehicle Complaint,368M783,Buick,Gold,,,10,6200 S MASSASOIT AVE,60638,1139136.61010288,1862867.57328148,13,8,64,,41.77972261151146,-87.76560265994306,"{'latitude': '41.77972261151146', 'longitude': '-87.76560265994306', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003094,Abandoned Vehicle Complaint,000000000,Dodge,White,,,30,5816 S ALBANY AVE,60629,1156709.11881086,1865903.47437797,14,8,63,59,41.78756085777093,-87.70109289200148,"{'latitude': '41.78756085777093', 'longitude': '-87.70109289200148', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003456,Abandoned Vehicle Complaint,TEXAS PLATE  -  SMALL FLATBED HITCH TRAILER  -  MISSING TIRES,,Black,,,,4559 S KEELER AVE,60632,1149119.58230237,1874073.4099702,14,8,57,,41.809735337429046,-87.72839982934718,"{'latitude': '41.809735337429046', 'longitude': '-87.72839982934718', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-06T00:00:00,11-00001684,Abandoned Vehicle Complaint,653L405,Dodge,Purple,,,7,10323 S BENSLEY AVE,60617,1194511.52971831,1837024.79800294,10,4,51,,41.707425854873485,-87.56314427550738,"{'latitude': '41.707425854873485', 'longitude': '-87.56314427550738', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-06T00:00:00,11-00002228,Abandoned Vehicle Complaint,7299,Bmw,Blue,,,15,11630 S BISHOP ST,60643,1168755.41307576,1827618.82629451,34,5,53,,41.682112526292194,-87.65802066089002,"{'latitude': '41.682112526292194', 'longitude': '-87.65802066089002', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-07T00:00:00,11-00002087,Abandoned Vehicle Complaint,H310965,Saab,Black,,,9,1634 W MARQUETTE RD,60636,1166479.79751037,1860279.19200743,15,7,67,,41.77228398062705,-87.66539934833676,"{'latitude': '41.77228398062705', 'longitude': '-87.66539934833676', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-07T00:00:00,11-00002300,Abandoned Vehicle Complaint,L204096,Ford,White,,,30,6806 S CRANDON AVE,60649,1192495.45796601,1860280.9465293,5,3,43,,41.77143398206719,-87.57006880411762,"{'latitude': '41.77143398206719', 'longitude': '-87.57006880411762', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-11T00:00:00,11-00001937,Abandoned Vehicle Complaint,NO PLATES,Audi,Blue,Place 7 Day Sticker,Follow on Activity was created,30,2431 N ROCKWELL ST,60647,1158627.28987542,1916065.6327763,1,14,22,,41.925846059603856,-87.69241409332786,"{'latitude': '41.925846059603856', 'longitude': '-87.69241409332786', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-11T00:00:00,11-00002077,Abandoned Vehicle Complaint,H284292,Mercury,Black,Place 7 Day Sticker,Follow on Activity was created,21,2735 N MANGO AVE,60639,1137579.6235325,1917602.51841012,30,25,19,,41.930458002693,-87.76971783093406,"{'latitude': '41.930458002693', 'longitude': '-87.76971783093406', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-11T00:00:00,11-00003278,Abandoned Vehicle Complaint,NORTH CAROLINA PLATES SZL2324,Chevrolet,Silver,Place 7 Day Sticker,Follow on Activity was created,,3227 N RIDGEWAY AVE,60618,1150824.16989512,1921198.81343055,35,17,21,,41.93999714133287,-87.72094767679964,"{'latitude': '41.93999714133287', 'longitude': '-87.72094767679964', 'needs_recoding': False}"
