Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Black Carts Delivered,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
2012-06-15T00:00:00,Completed - Dup,2012-08-27T00:00:00,12-01089270,Garbage Cart Black Maintenance/Replacement,,,,4942 W KINZIE ST,60644,1143347.84997003,1902273.92031755,28,15,25,,41.88797829529805,-87.74961410499051,"{'latitude': '41.88797829529805', 'longitude': '-87.74961410499051', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-08-27T00:00:00,12-01089274,Garbage Cart Black Maintenance/Replacement,,,,4944 W KINZIE ST,60644,1143334.44997003,1902273.72031755,28,15,25,,41.887977628170304,-87.74968498253848,"{'latitude': '41.887977628170304', 'longitude': '-87.74968498253848', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-09-04T00:00:00,12-01089806,Garbage Cart Black Maintenance/Replacement,,,,6605 N RICHMOND ST,60645,1155469.78750935,1943669.1146214,50,24,2,,42.00134585527876,-87.7032598225917,"{'latitude': '42.00134585527876', 'longitude': '-87.7032598225917', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-09-10T00:00:00,12-01087592,Garbage Cart Black Maintenance/Replacement,,,,9011 S UNION AVE,60620,1173219.5733661,1845129.71457723,21,22,71,,41.73046647733934,-87.6408812697374,"{'latitude': '41.73046647733934', 'longitude': '-87.6408812697374', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-09-14T00:00:00,12-01085648,Garbage Cart Black Maintenance/Replacement,0,,,4739 W HARRISON ST,60644,1144886.09970577,1896927.87388335,24,11,25,,41.87306660013028,-87.74411488435801,"{'latitude': '41.87306660013028', 'longitude': '-87.74411488435801', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-09-14T00:00:00,12-01089188,Garbage Cart Black Maintenance/Replacement,0,,,6435 S HONORE ST,60636,1165118.28670437,1862001.16381228,15,7,67,,41.77652411740357,-87.67007180208135,"{'latitude': '41.77652411740357', 'longitude': '-87.67007180208135', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-09-20T00:00:00,12-01090134,Garbage Cart Black Maintenance/Replacement,,,,6904 N RIDGE BLVD,60645,1161601.55777207,1945652.66171025,50,24,2,,42.00657188481648,-87.68095726888417,"{'latitude': '42.00657188481648', 'longitude': '-87.68095726888417', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-09-25T00:00:00,12-01088582,Garbage Cart Black Maintenance/Replacement,,,,1031 S MONITOR AVE,60644,1137534.62917371,1895209.02489295,29,15,25,,41.86822961263133,-87.77039720701389,"{'latitude': '41.86822961263133', 'longitude': '-87.77039720701389', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-10-05T00:00:00,12-01086537,Garbage Cart Black Maintenance/Replacement,,,,6508 S OAKLEY AVE,60636,1162192.12190332,1861445.47131512,15,8,66,,41.77529475216878,-87.68111536374053,"{'latitude': '41.77529475216878', 'longitude': '-87.68111536374053', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-10-10T00:00:00,12-01085496,Garbage Cart Black Maintenance/Replacement,,,,6140 S DAMEN AVE,60636,1164080.64247093,1863931.0001263,15,7,67,,41.78175959765556,-87.6741134782751,"{'latitude': '41.78175959765556', 'longitude': '-87.6741134782751', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-10-10T00:00:00,12-01085707,Garbage Cart Black Maintenance/Replacement,,,,7937 S MAY ST,60620,1170030.2397786,1852165.49877753,17,6,71,32,41.74940857753349,-87.65235261400927,"{'latitude': '41.74940857753349', 'longitude': '-87.65235261400927', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-10-16T00:00:00,12-01085971,Garbage Cart Black Maintenance/Replacement,,,,6334 N CLAREMONT AVE,60659,1159499.58778683,1941994.81633002,50,24,2,43,41.99697966508094,-87.68878613537441,"{'latitude': '41.99697966508094', 'longitude': '-87.68878613537441', 'needs_recoding': False}"
2012-06-15T00:00:00,Completed - Dup,2012-10-24T00:00:00,12-01088023,Garbage Cart Black Maintenance/Replacement,,,,6159 S RUTHERFORD AVE,60638,1132468.56200517,1862935.08713233,23,8,64,,41.77947643311654,-87.78973360634367,"{'latitude': '41.77947643311654', 'longitude': '-87.78973360634367', 'needs_recoding': False}"
