Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
2011-01-01T00:00:00,Completed - Dup,2011-01-02T00:00:00,11-00001814,Alley Light Out,4316 S SACRAMENTO AVE,60632,1157077.82962754,1875878.20800447,14,9,58,41.81517646745516,-87.69933194705028,"{'latitude': '41.81517646745516', 'longitude': '-87.69933194705028', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-02T00:00:00,11-00002131,Alley Light Out,12256 S THROOP ST,60643,1169885.18988818,1823490.1964662,34,5,53,41.67114764355224,-87.65386985854649,"{'latitude': '41.67114764355224', 'longitude': '-87.65386985854649', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-02T00:00:00,11-00002721,Alley Light Out,6949 S ROCKWELL ST,60629,1160242.32740792,1858411.16951698,18,8,66,41.76717991767958,-87.68820480368018,"{'latitude': '41.76717991767958', 'longitude': '-87.68820480368018', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-02T00:00:00,11-00002731,Alley Light Out,5300 S WASHTENAW AVE,60632,1159271.90601236,1869409.61562889,14,9,63,41.797381114669676,-87.69146089039006,"{'latitude': '41.797381114669676', 'longitude': '-87.69146089039006', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-02T00:00:00,11-00003144,Alley Light Out,12442 S LA SALLE ST,60628,1177527.17909801,1822448.27412904,9,5,53,41.66811969055759,-87.62593190085083,"{'latitude': '41.66811969055759', 'longitude': '-87.62593190085083', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-02T00:00:00,11-00003188,Alley Light Out,9410 S RACINE AVE,60620,1169976.96250524,1842378.65757736,21,22,73,41.722978614106935,-87.65298790565937,"{'latitude': '41.722978614106935', 'longitude': '-87.65298790565937', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-02T00:00:00,11-00003273,Alley Light Out,10531 S AVENUE E,60617,1203823.48118116,1835742.52229254,10,4,52,41.70396765780105,-87.52924094215103,"{'latitude': '41.70396765780105', 'longitude': '-87.52924094215103', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00001316,Alley Light Out,5132 S NASHVILLE AVE,60638,1133247.0698825,1869829.87361304,23,8,56,41.79902799484382,-87.78688959608697,"{'latitude': '41.79902799484382', 'longitude': '-87.78688959608697', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002259,Alley Light Out,5400 N NEVA AVE,60656,1127676.79528426,1935426.03580553,41,16,10,41.97912874964131,-87.80583880940901,"{'latitude': '41.97912874964131', 'longitude': '-87.80583880940901', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00003138,Alley Light Out,1408 E 72ND PL,60619,1186849.46502097,1857207.0259892,5,3,43,41.76328661720974,-87.59071749215322,"{'latitude': '41.76328661720974', 'longitude': '-87.59071749215322', 'needs_recoding': False}"
