Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002268,Graffiti Removal,Brick - Unpainted,Front,3701 S WOLCOTT AVE,60609,1164294.66131095,1880149.94197872,11,9,59,,41.82667996575031,-87.67258908007462,"{'latitude': '41.82667996575031', 'longitude': '-87.67258908007462', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002378,Graffiti Removal,Aluminum Siding,Garage,1802 N TRIPP AVE,60639,1147771.9745121,1911660.5469701,30,25,20,,41.913654239126494,-87.73269978462665,"{'latitude': '41.913654239126494', 'longitude': '-87.73269978462665', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002391,Graffiti Removal,Other / Unknown Surface,Front,4150 N KENMORE AVE,60613,1168430.50413421,1927514.73628624,46,23,3,34,41.95817637208573,-87.65637593433681,"{'latitude': '41.95817637208573', 'longitude': '-87.65637593433681', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002639,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,3035 N HOYNE AVE,60618,1161822.25108388,1920144.02120117,32,19,5,,41.93695732658053,-87.68055828418575,"{'latitude': '41.93695732658053', 'longitude': '-87.68055828418575', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-04T00:00:00,11-00001746,Graffiti Removal,Metal,Front,4500 N CENTRAL AVE,60630,1138195.50189767,1929379.95998755,38,16,15,,41.96239659175784,-87.76745051301677,"{'latitude': '41.96239659175784', 'longitude': '-87.76745051301677', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-05T00:00:00,11-00003283,Graffiti Removal,Brick - Unpainted,Front,2221 W BELMONT AVE,60618,1160992.18419667,1921215.9282097,32,19,5,,41.93939324453387,-87.68407150190562,"{'latitude': '41.93939324453387', 'longitude': '-87.68407150190562', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-12T00:00:00,11-00002866,Graffiti Removal,Brick - Unpainted,Front,6969 N WOLCOTT AVE,60626,1162345.19407229,1946287.0295748,49,24,1,,42.008551906656095,-87.67789885037675,"{'latitude': '42.008551906656095', 'longitude': '-87.67789885037675', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00001286,Graffiti Removal,Wood - Painted,Garage,1900 W CULLERTON ST,60608,1164016.23422728,1890427.82259955,25,12,31,,41.855067394534714,-87.67359514411345,"{'latitude': '41.855067394534714', 'longitude': '-87.67359514411345', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00001666,Graffiti Removal,Vinyl Siding,Side,444 W 44TH PL,60609,1173856.23996796,1875425.55008143,11,9,61,,41.813689058704064,-87.6377357683662,"{'latitude': '41.813689058704064', 'longitude': '-87.6377357683662', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00001751,Graffiti Removal,Brick - Unpainted,Garage,4759 S KENNETH AVE,60632,1147494.64999025,1872699.54167111,23,8,57,,41.805998271453426,-87.7344008916481,"{'latitude': '41.805998271453426', 'longitude': '-87.7344008916481', 'needs_recoding': False}"
