CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,SSA,LATITUDE,LONGITUDE,LOCATION
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002110,Pot Hole in Street,,,,7600 S PARNELL AVE,60620,1173863.13003072,1854505.80057442,17,6,69,,41.75607825280598,-87.63853957634103,"{'latitude': '41.75607825280598', 'longitude': '-87.63853957634103', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002209,Pot Hole in Street,,,,7100 S PULASKI RD,60629,1150934.05446561,1857220.94202977,13,8,65,3,41.764007749308014,-87.72249910770661,"{'latitude': '41.764007749308014', 'longitude': '-87.72249910770661', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002224,Pot Hole in Street,,,,2400 W FULLERTON AVE,60647,1159963.77500445,1915885.23341463,1,14,22,,41.92500993476519,-87.68770475222249,"{'latitude': '41.92500993476519', 'longitude': '-87.68770475222249', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002247,Pot Hole in Street,,,,11100 S HALSTED ST,60628,1172962.77918359,1831243.23598926,34,22,75,45,41.692263123425136,-87.6425226876268,"{'latitude': '41.692263123425136', 'longitude': '-87.6425226876268', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002276,Pot Hole in Street,,,,1200 S CLARK ST,60605,1175703.41731461,1895044.91267398,2,1,33,,41.867286165270755,-87.63058096773683,"{'latitude': '41.867286165270755', 'longitude': '-87.63058096773683', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00002947,Pot Hole in Street,,,,2400 N NB OUTER LAKE SHORE DR,60614,1175330.3518669,1916458.7619222,43,23,7,,41.92620071801162,-87.63133087271531,"{'latitude': '41.92620071801162', 'longitude': '-87.63133087271531', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00003041,Pot Hole in Street,,,,1600 N ELSTON AVE,60642,1166938.46533072,1910765.96671356,32,14,24,,41.91070699688122,-87.66232724459678,"{'latitude': '41.91070699688122', 'longitude': '-87.66232724459678', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00003086,Pot Hole in Street,,,,7100 S PULASKI RD,60629,1150934.05446561,1857220.94202977,13,8,65,3,41.764007749308014,-87.72249910770661,"{'latitude': '41.764007749308014', 'longitude': '-87.72249910770661', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00003439,Pot Hole in Street,,,,3408 N CLARK ST,60657,1169136.96248219,1922825.63479501,44,19,6,17,41.943820984368344,-87.65396258925858,"{'latitude': '41.943820984368344', 'longitude': '-87.65396258925858', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002021,Pot Hole in Street,Dispatch Crew,Pothole Patched,5,1642 W 99TH ST,60643,1166945.42467286,1839061.36263023,19,22,72,,41.71403466751051,-87.66509581640723,"{'latitude': '41.71403466751051', 'longitude': '-87.66509581640723', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002273,Pot Hole in Street,Dispatch Crew,Pothole Patched,7,3500 S PULASKI RD,60623,1150257.88930622,1881339.80592603,22,10,30,,41.830223541014355,-87.7243519544564,"{'latitude': '41.830223541014355', 'longitude': '-87.7243519544564', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002650,Pot Hole in Street,Dispatch Crew,Pothole Patched,5,7851 S DR MARTIN LUTHER KING JR DR,60619,1180265.09327021,1853037.88369035,6,6,69,51,41.75143385051753,-87.61481960290558,"{'latitude': '41.75143385051753', 'longitude': '-87.61481960290558', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002654,Pot Hole in Street,Dispatch Crew,Pothole Patched,3,15 E 79TH ST,60619,1177809.18317697,1852641.29032066,6,6,44,,41.75086472111055,-87.62388985583482,"{'latitude': '41.75086472111055', 'longitude': '-87.62388985583482', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002656,Pot Hole in Street,Dispatch Crew,Pothole Patched,4,359 E 79TH ST,60619,1179970.5766052,1852706.71800952,6,6,44,51,41.75099208108744,-87.61582439398472,"{'latitude': '41.75099208108744', 'longitude': '-87.61582439398472', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002913,Pot Hole in Street,Dispatch Crew,Pothole Patched,10,7312 S LAFAYETTE AVE,60621,1177097.69519434,1856520.0298994,6,7,69,,41.76141604711078,-87.62662592657588,"{'latitude': '41.76141604711078', 'longitude': '-87.62662592657588', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002927,Pot Hole in Street,Dispatch Crew,Pothole Patched,12,7600 S STATE ST,60619,1177592.44417274,1854632.97492551,6,6,69,,41.756400406672974,-87.62486968589552,"{'latitude': '41.756400406672974', 'longitude': '-87.62486968589552', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00003121,Pot Hole in Street,Dispatch Crew,Pothole Patched,2,800 N LAKE SHORE DR,60611,1179260.170401,1905811.24020631,42,18,8,,41.89682804500879,-87.61720770331104,"{'latitude': '41.89682804500879', 'longitude': '-87.61720770331104', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00003356,Pot Hole in Street,Dispatch Crew,Pothole Patched,32,9899 S VANDERPOEL AVE,60643,1166627.12969192,1839051.69247116,19,22,72,,41.71402220124287,-87.66522178348544,"{'latitude': '41.71402220124287', 'longitude': '-87.66522178348544', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00003428,Pot Hole in Street,Dispatch Crew,Pothole Patched,2,7200 S LAFAYETTE AVE,60621,1177079.62119277,1857263.04998703,6,7,69,,41.76357428849735,-87.62666940365537,"{'latitude': '41.76357428849735', 'longitude': '-87.62666940365537', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00001252,Pot Hole in Street,Dispatch Crew,Pothole Patched,10,6300 S HARVARD AVE,60621,1175146.39992689,1863176.55243263,20,7,68,,41.77988333178923,-87.63357848131203,"{'latitude': '41.77988333178923', 'longitude': '-87.63357848131203', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00001597,Pot Hole in Street,Dispatch Crew,Pothole Patched,6,5333 W IRVING PARK RD,60641,1140085.98949156,1926079.38031069,38,16,15,,41.95314559199465,-87.7609563298001,"{'latitude': '41.95314559199465', 'longitude': '-87.7609563298001', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00001728,Pot Hole in Street,Dispatch Crew,Complete Upon Arrival,0,2152 W FULLERTON AVE,60647,1161199.61418002,1915917.31190196,1,14,22,,41.92507240878576,-87.68313006191111,"{'latitude': '41.92507240878576', 'longitude': '-87.68313006191111', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00002193,Pot Hole in Street,Dispatch Crew,CDOT Pavement Cave-In Survey Transfer Outcome,0,3400 N CLARK ST,60657,1169173.36248219,1922758.63479501,44,19,6,17,41.94356094269125,-87.65376364321489,"{'latitude': '41.94356094269125', 'longitude': '-87.65376364321489', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00002392,Pot Hole in Street,Dispatch Crew, No Problem Found,0,2200 E 99TH ST,60617,1192441.90002999,1839757.43421576,7,4,51,,41.71537830250349,-87.57090702576498,"{'latitude': '41.71537830250349', 'longitude': '-87.57090702576498', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00002825,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,6731 N IONIA AVE,60646,1138714.29748611,1944185.3555896,41,16,12,,42.003046021589796,-87.76491345116376,"{'latitude': '42.003046021589796', 'longitude': '-87.76491345116376', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00002863,Pot Hole in Street,Dispatch Crew,CDOT Pavement Cave-In Survey Transfer Outcome,0,3408 N CLARK ST,60657,1169136.96248219,1922825.63479501,44,19,6,17,41.943820984368344,-87.65396258925858,"{'latitude': '41.943820984368344', 'longitude': '-87.65396258925858', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00003132,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,6400 N CALDWELL AVE,60646,1138276.7159908,1942116.4325115,41,16,12,,41.997231488191716,-87.76681825585933,"{'latitude': '41.997231488191716', 'longitude': '-87.76681825585933', 'needs_recoding': False}"
