Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Premises Baited,Number of Premises with Garbage,Number of Premises with Rats,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00000992,Rodent Baiting/Rat Complaint,2,1,2,Dispatch Crew,Inspected and baited,437 W ROOT ST,60609,1174070.65202445,1877418.09150898,3,9,37,41.81904110375691,-87.63695396416237,"{'latitude': '41.81904110375691', 'longitude': '-87.63695396416237', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00001321,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,"Area inspected, no cause and no baiting",5545 W MADISON ST,60644,1139305.86986935,1899470.3932844,29,15,25,41.88025817420532,-87.7639495188141,"{'latitude': '41.88025817420532', 'longitude': '-87.7639495188141', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00001629,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,"Area inspected, no cause and no baiting",2540 W ESTES AVE,60645,1158079.07002097,1947026.37998249,50,24,2,42.01039236610359,-87.69371292873835,"{'latitude': '42.01039236610359', 'longitude': '-87.69371292873835', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00002551,Rodent Baiting/Rat Complaint,3,6,3,Dispatch Crew,Inspected and baited,7039 S NORMAL BLVD,60621,1174168.26431373,1858240.98502664,6,7,68,41.76641494684121,-87.63716556232575,"{'latitude': '41.76641494684121', 'longitude': '-87.63716556232575', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00002697,Rodent Baiting/Rat Complaint,1,3,1,Dispatch Crew,Inspected and baited,1111 E 93RD ST,60619,1185291.74371894,1843539.75029876,8,4,47,41.72581895961811,-87.59685549830274,"{'latitude': '41.72581895961811', 'longitude': '-87.59685549830274', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003085,Rodent Baiting/Rat Complaint,1,3,1,Dispatch Crew,Inspected and baited,7756 S TROY ST,60652,1156723.83741961,1852989.47198156,18,8,70,41.752373627738436,-87.70124765768429,"{'latitude': '41.752373627738436', 'longitude': '-87.70124765768429', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003145,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,"Area inspected, no cause and no baiting",2511 W AUGUSTA BLVD,60622,1159481.71357182,1906571.08907416,26,13,24,41.89935190229656,-87.68967006324442,"{'latitude': '41.89935190229656', 'longitude': '-87.68967006324442', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003368,Rodent Baiting/Rat Complaint,2,9,2,Dispatch Crew,Inspected and baited,6700 S HERMITAGE AVE,60636,1165830.09768491,1860263.98562895,15,7,67,41.77214745780087,-87.66767067184314,"{'latitude': '41.77214745780087', 'longitude': '-87.66767067184314', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003411,Rodent Baiting/Rat Complaint,0,5,0,Dispatch Crew,"No contact, left door hanger",1241 N LOCKWOOD AVE,60651,1140795.50647215,1907858.97237715,37,25,25,41.90325020713387,-87.75827322161487,"{'latitude': '41.90325020713387', 'longitude': '-87.75827322161487', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003416,Rodent Baiting/Rat Complaint,5,6,5,Dispatch Crew,Inspected and baited,3144 W WARREN BLVD,60612,1155414.58472448,1900181.62720982,28,13,27,41.88190137275809,-87.70478052590498,"{'latitude': '41.88190137275809', 'longitude': '-87.70478052590498', 'needs_recoding': False}"
