Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00001271,Sanitation Code Violation,Garbage in alley,3731 N KIMBALL AVE,60618,1153055.37797752,1924736.93532258,35,17,16,41.949330379708314,-87.71279114200225,"{'latitude': '41.949330379708314', 'longitude': '-87.71279114200225', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00001278,Sanitation Code Violation,Garbage in yard,3036 N SAWYER AVE,60618,1154187.13837605,1920016.88531821,35,14,21,41.93635566035826,-87.70875735748406,"{'latitude': '41.93635566035826', 'longitude': '-87.70875735748406', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00001696,Sanitation Code Violation,Construction Site Cleanliness/Fence,600 N CLARK ST,60654,1175435.00739104,1904172.75039301,42,18,8,41.892427342273194,-87.6311463966443,"{'latitude': '41.892427342273194', 'longitude': '-87.6311463966443', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002161,Sanitation Code Violation,Garbage in alley,10047 S FOREST AVE,60628,1180021.3001262,1838414.71642729,9,5,49,41.711877328148155,-87.61631763072438,"{'latitude': '41.711877328148155', 'longitude': '-87.61631763072438', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002373,Sanitation Code Violation,Garbage in yard,10648 S AVENUE B,60617,1204784.23999393,1834964.17507469,10,4,52,41.70180714214017,-87.52574964355905,"{'latitude': '41.70180714214017', 'longitude': '-87.52574964355905', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002439,Sanitation Code Violation,Garbage in alley,8239 S EVANS AVE,60619,1182661.16289116,1850528.23840196,6,6,44,41.745057522351686,-87.60627511877377,"{'latitude': '41.745057522351686', 'longitude': '-87.60627511877377', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002461,Sanitation Code Violation,Garbage in yard,7105 S EBERHART AVE,60619,1180806.00859116,1858020.5280188,6,3,69,41.76565998888494,-87.61284272023427,"{'latitude': '41.76565998888494', 'longitude': '-87.61284272023427', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002612,Sanitation Code Violation,Garbage in yard,5218 S LOOMIS BLVD,60609,1167882.59619673,1870149.96676759,16,9,61,41.79923194833374,-87.65986297069696,"{'latitude': '41.79923194833374', 'longitude': '-87.65986297069696', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002751,Sanitation Code Violation,Garbage in yard,6928 S MAPLEWOOD AVE,60629,1160569.4450213,1858625.58002816,18,8,66,41.76776155212092,-87.68699986859862,"{'latitude': '41.76776155212092', 'longitude': '-87.68699986859862', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00002877,Sanitation Code Violation,Garbage in yard,4124 N KEDZIE AVE,60618,1154314.18652798,1927357.62993012,33,17,16,41.956496639123856,-87.70809364531061,"{'latitude': '41.956496639123856', 'longitude': '-87.70809364531061', 'needs_recoding': False}"
