Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,"If Yes, where is the debris located?",Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00001766,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,2524 N MOZART ST,60647,1156945.33866643,1916756.54337137,35,14,22,41.92735345762709,-87.69870933383872,"{'latitude': '41.92735345762709', 'longitude': '-87.69870933383872', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00001807,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,10132 S EGGLESTON AVE,60628,1175293.29133151,1837607.05001364,9,22,73,41.70976771267409,-87.63365681877502,"{'latitude': '41.70976771267409', 'longitude': '-87.63365681877502', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00002563,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,362 E 89TH PL,60619,1180205.64151591,1845719.96819315,6,6,44,41.73191964410131,-87.61541942144278,"{'latitude': '41.73191964410131', 'longitude': '-87.61541942144278', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-02T00:00:00,13-00000901,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,9117 S URBAN AVE,60619,1178270.54451797,1844417.51018182,6,6,49,41.72838960811961,-87.62254782298375,"{'latitude': '41.72838960811961', 'longitude': '-87.62254782298375', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-04T00:00:00,11-00003981,Tree Debris,Parkway,,,4102 N WOLCOTT AVE,60613,1162939.86399482,1927268.10909903,47,19,5,41.956073918430725,-87.67638589575405,"{'latitude': '41.956073918430725', 'longitude': '-87.67638589575405', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-03T00:00:00,11-00004699,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,5005 W FOSTER AVE,60630,1142024.27000674,1934113.37317787,45,16,12,41.97527212775161,-87.753106915463,"{'latitude': '41.97527212775161', 'longitude': '-87.753106915463', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-04T00:00:00,11-00004573,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,5055 W CRYSTAL ST,60651,1142433.81368532,1907849.68338768,37,25,25,41.90319442254708,-87.75225553106478,"{'latitude': '41.90319442254708', 'longitude': '-87.75225553106478', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00003746,Tree Debris,Alley,,,5823 W SUPERIOR ST,60644,1137460.64980662,1904410.01240658,29,15,25,41.89384652397142,-87.77060612900046,"{'latitude': '41.89384652397142', 'longitude': '-87.77060612900046', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00005038,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,5832 N EAST CIRCLE AVE,60631,1129204.09493102,1938425.07941851,41,16,10,41.9873324710467,-87.80015328916164,"{'latitude': '41.9873324710467', 'longitude': '-87.80015328916164', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed,2013-01-03T00:00:00,13-00006179,Tree Debris,,Dispatch Clam,*Complete the Service Request,1201 W 110TH PL,60643,1170288.35308702,1831511.0257708,34,22,75,41.6931494013809,-87.65216220033186,"{'latitude': '41.6931494013809', 'longitude': '-87.65216220033186', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed,2013-01-03T00:00:00,13-00006805,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,8227 S WOODLAWN AVE,60619,1185645.51197703,1850562.24011814,8,4,45,41.74508111104989,-87.59533906387875,"{'latitude': '41.74508111104989', 'longitude': '-87.59533906387875', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed,2013-01-03T00:00:00,13-00007649,Tree Debris,Parkway,,,2613 N MAGNOLIA AVE,60614,1167528.35752529,1917489.4552751,32,19,7,41.929143082607936,-87.65980002651472,"{'latitude': '41.929143082607936', 'longitude': '-87.65980002651472', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed,2013-01-11T00:00:00,13-00007964,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,7137 W SCHREIBER AVE,60631,1127699.3560128,1942541.65991076,41,16,10,41.99865433146471,-87.80559458563104,"{'latitude': '41.99865433146471', 'longitude': '-87.80559458563104', 'needs_recoding': False}"
2011-01-03T00:00:00,Completed - Dup,2011-01-05T00:00:00,11-00006716,Tree Debris,Alley,,,22 E 101ST ST,60628,1178253.9289718,1838014.0942027,9,5,49,41.71081817066191,-87.62280228282525,"{'latitude': '41.71081817066191', 'longitude': '-87.62280228282525', 'needs_recoding': False}"
2011-01-03T00:00:00,Completed,2011-01-04T00:00:00,11-00008808,Tree Debris,,Dispatch Clam,,5530 N OKETO AVE,60656,1126063.72061384,1935659.29488491,41,16,10,41.97979594182543,-87.81176590712964,"{'latitude': '41.97979594182543', 'longitude': '-87.81176590712964', 'needs_recoding': False}"
2011-01-03T00:00:00,Completed,2011-01-04T00:00:00,11-00009375,Tree Debris,,Dispatch Clam,*Complete the Service Request,3511 N OLCOTT AVE,60634,1125460.83178232,1922430.5489202,36,16,17,41.94350480927452,-87.81427784751298,"{'latitude': '41.94350480927452', 'longitude': '-87.81427784751298', 'needs_recoding': False}"
