Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Location of Trees,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
2010-06-15T00:00:00,Completed,2011-10-21T00:00:00,10-00862558,Tree Trim,,7237 S AVERS AVE,60629,1151953.62467509,1856339.87741701,13,8,65,41.761662537751896,-87.71864092116586,"{'latitude': '41.761662537751896', 'longitude': '-87.71864092116586', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-10-24T00:00:00,10-00861435,Tree Trim,Parkway,7827 S TRUMBULL AVE,60652,1154740.32239948,1852493.35850165,18,8,70,41.75105196947029,-87.70852966806123,"{'latitude': '41.75105196947029', 'longitude': '-87.70852966806123', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-10-25T00:00:00,10-00853312,Tree Trim,Parkway,1821 W EDDY ST,60657,1163494.90581942,1923598.31991667,47,19,5,41.94599213964815,-87.67444914936094,"{'latitude': '41.94599213964815', 'longitude': '-87.67444914936094', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-10-26T00:00:00,10-00856362,Tree Trim,Parkway,10053 S EBERHART AVE,60628,1181349.96050284,1838413.81057416,9,5,49,41.711844378036105,-87.61145178817645,"{'latitude': '41.711844378036105', 'longitude': '-87.61145178817645', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-10-26T00:00:00,10-00858764,Tree Trim,Parkway,5234 W PENSACOLA AVE,60641,1140676.79589838,1928421.76690904,38,16,15,41.95967881175858,-87.75820260590397,"{'latitude': '41.95967881175858', 'longitude': '-87.75820260590397', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-10-27T00:00:00,10-00860705,Tree Trim,Parkway,4504 N HAZEL ST,60640,1169450.42570757,1930124.74318279,46,23,3,41.96377316813134,-87.65236817807583,"{'latitude': '41.96377316813134', 'longitude': '-87.65236817807583', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-10-31T00:00:00,10-00857478,Tree Trim,Parkway,9157 S UNION AVE,60620,1173246.53016976,1844142.6461135,21,22,73,41.72774771271878,-87.64095985991771,"{'latitude': '41.72774771271878', 'longitude': '-87.64095985991771', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-10-31T00:00:00,10-00860381,Tree Trim,Parkway,8854 S LOWE AVE,60620,1173521.04801317,1846194.93280289,21,22,71,41.73337340306709,-87.63989369033915,"{'latitude': '41.73337340306709', 'longitude': '-87.63989369033915', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-11-01T00:00:00,10-00855789,Tree Trim,Parkway,9124 S LUELLA AVE,60617,1192762.4966149,1844910.16292461,7,4,48,41.72940084764093,-87.56944558250703,"{'latitude': '41.72940084764093', 'longitude': '-87.56944558250703', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-02T00:00:00,10-00854370,Tree Trim,Parkway,7241 W MYRTLE AVE,60631,1126976.80162857,1940674.74048261,41,16,10,41.99354351710224,-87.80829480765999,"{'latitude': '41.99354351710224', 'longitude': '-87.80829480765999', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-11-09T00:00:00,10-00861373,Tree Trim,Parkway,12324 S WENTWORTH AVE,60628,1177165.96612028,1823219.92370494,9,5,53,41.670245347913976,-87.62723071728088,"{'latitude': '41.670245347913976', 'longitude': '-87.62723071728088', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-13T00:00:00,10-00859716,Tree Trim,Parkway,2900 W FLETCHER ST,60618,1156495.98828244,1920803.18671431,33,14,21,41.93846685539624,-87.70025071643927,"{'latitude': '41.93846685539624', 'longitude': '-87.70025071643927', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-16T00:00:00,10-00856364,Tree Trim,Parkway,9620 S BRENNAN AVE,60617,1193215.53313108,1841777.57983408,7,4,51,41.72079369815539,-87.56788805983878,"{'latitude': '41.72079369815539', 'longitude': '-87.56788805983878', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-11-17T00:00:00,10-00857222,Tree Trim,Parkway,3639 W 86TH ST,60652,1153593.16508823,1847303.46999335,18,8,70,41.736832817201005,-87.71287059963147,"{'latitude': '41.736832817201005', 'longitude': '-87.71287059963147', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-20T00:00:00,10-00852961,Tree Trim,Parkway,6500 N PONCHARTRAIN BLVD,60646,1137180.40929356,1942787.07871728,41,16,12,41.99916213306988,-87.77071018896986,"{'latitude': '41.99916213306988', 'longitude': '-87.77071018896986', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-11-25T00:00:00,10-00857269,Tree Trim,Parkway,10130 S EMERALD AVE,60628,1173095.61318782,1837683.91199906,34,22,73,41.710027354422735,-87.6417027612135,"{'latitude': '41.710027354422735', 'longitude': '-87.6417027612135', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-26T00:00:00,10-00859780,Tree Trim,Parkway,4055 N CENTRAL PARK AVE,60618,1151666.81563261,1926719.55951907,33,17,16,41.95479831850973,-87.71784298478264,"{'latitude': '41.95479831850973', 'longitude': '-87.71784298478264', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-27T00:00:00,10-00858418,Tree Trim,Parkway,12215 S LAFAYETTE AVE,60628,1178127.33122907,1823964.18401639,9,5,53,41.67226604332768,-87.6236897981989,"{'latitude': '41.67226604332768', 'longitude': '-87.6236897981989', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-29T00:00:00,10-00859110,Tree Trim,,1042 W ROSCOE ST,60657,1168618.18009054,1922747.36762596,44,19,6,41.94354747715014,-87.65564255148765,"{'latitude': '41.94354747715014', 'longitude': '-87.65564255148765', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-29T00:00:00,10-00859114,Tree Trim,,1049 W ROSCOE ST,60657,1168584.78009054,1922746.46762596,44,19,6,41.94354573205167,-87.65576533929281,"{'latitude': '41.94354573205167', 'longitude': '-87.65576533929281', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-29T00:00:00,10-00859125,Tree Trim,,1352 W MELROSE ST,60657,1166708.70422849,1921688.54188355,44,19,6,41.94068321999992,-87.6626912823598,"{'latitude': '41.94068321999992', 'longitude': '-87.6626912823598', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-29T00:00:00,10-00859137,Tree Trim,,1342 W MELROSE ST,60657,1166775.40350284,1921690.13361004,44,19,6,41.94068615561479,-87.6624460941072,"{'latitude': '41.94068615561479', 'longitude': '-87.6624460941072', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-29T00:00:00,10-00860557,Tree Trim,,1330 W NEWPORT AVE,60657,1166816.92010273,1923028.57847712,44,19,6,41.944358019924934,-87.66225499460506,"{'latitude': '41.944358019924934', 'longitude': '-87.66225499460506', 'needs_recoding': False}"
